"Calendar year","Mean(Bed days)"
2011,2302.708950169331
2012,2343.2002514020423
2013,2285.8905876731837
2014,2305.427030096524
2015,2376.227460168701
2016,2324.571598065169
2017,2413.297056686055
2018,2345.637929479655
2019,2423.749909584079
2020,2382.22375716569
2021,2528.786111626173
