"calendar year","state or territory","count of cases excluding died in hospitals within 30 days","percentage_in_a_year"
2018,"ACT",368,0.009505114164686435
2018,"NT",412,0.010641595206116334
2018,"NSW",4877,0.12596859179667322
2018,"Vic",5552,0.14340324413679098
2018,"Qld",4834,0.12485793986982126
2018,"WA",1635,0.04223060233495196
2018,"SA",1273,0.03288046285773324
2018,"Tas",409,0.010564107862382478
2018,"ACT",344,0.00888521541481558
2018,"NT",420,0.010848228122739953
2019,"NSW",4989,0.12835421544161157
2019,"Vic",5903,0.15186909876765545
2019,"Qld",4643,0.11945252000308729
2019,"WA",1679,0.043196377575960274
2019,"SA",1221,0.03141320846947439
2019,"Tas",388,0.00998224806400988
2019,"ACT",362,0.009313334533947362
2019,"NT",320,0.008232781908461757
2019,"NSW",4953,0.12742802747690962
2019,"Vic",5489,0.14121793717358305
2019,"Qld",4872,0.12534410455633024
2019,"WA",1855,0.047724407625614244
2019,"SA",1236,0.03179912012143353
2019,"Tas",320,0.008232781908461757
2019,"ACT",303,0.007795415369574725
2019,"NT",336,0.008644421003884843
2020,"NSW",4191,0.11238335299796202
2020,"Vic",5030,0.13488147591976832
2020,"Qld",4287,0.11495763166362759
2020,"WA",1704,0.04569344631556366
2020,"SA",1171,0.031400836640566344
2020,"Tas",328,0.008795452107690657
2020,"ACT",286,0.007669205191461976
2020,"NT",322,0.00863455969108656
2020,"NSW",5083,0.13630269226643785
2020,"Vic",4854,0.1301619650327148
2020,"Qld",5514,0.1478601308591655
2020,"WA",1932,0.051807358146519364
2020,"SA",1332,0.03571811648610962
2020,"Tas",450,0.012066931245307305
2020,"ACT",343,0.009197683149200902
2020,"NT",465,0.012469162286817548
2021,"NSW",5005,0.12821826565902394
2021,"Vic",5921,0.15168438580760857
2021,"Qld",5127,0.13134366594082234
2021,"WA",1800,0.046112463174074546
2021,"SA",1337,0.034251312924298706
2021,"Tas",422,0.010810810810810811
2021,"ACT",441,0.011297553477648265
2021,"NT",348,0.008915076213654413
2021,"NSW",3998,0.10242090431663892
2021,"Vic",5209,0.1334443448187524
2021,"Qld",5320,0.136287946714487
2021,"WA",1768,0.04529268605097989
2021,"SA",1295,0.03317535545023697
2021,"Tas",383,0.009811707442039196
2021,"ACT",299,0.007659792493915717
2021,"NT",362,0.009273728705008326
